lane_class,strategy_context,provider,dataset,schema,stype_in,row_id,author_market_code,instrument_id,raw_symbol,provider_ts_event_start_utc,derived_completed_bar_end_utc,completed_trading_date,open,high,low,close,volume,provider_condition_status,row_shape_status,source_raw_sha256,strategy_use_status
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T14:00:00Z,2026-05-21T15:00:00Z,2026-05-21,109.09375,109.125,109.0,109.09375,215993.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T15:00:00Z,2026-05-21T16:00:00Z,2026-05-21,109.078125,109.125,108.984375,109.078125,137162.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T16:00:00Z,2026-05-21T17:00:00Z,2026-05-21,109.0625,109.171875,109.0625,109.140625,166046.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T17:00:00Z,2026-05-21T18:00:00Z,2026-05-21,109.15625,109.484375,109.09375,109.4375,401743.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T18:00:00Z,2026-05-21T19:00:00Z,2026-05-21,109.4375,109.46875,109.21875,109.25,303274.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T19:00:00Z,2026-05-21T20:00:00Z,2026-05-21,109.25,109.421875,109.21875,109.421875,170950.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T20:00:00Z,2026-05-21T21:00:00Z,2026-05-21,109.40625,109.453125,109.296875,109.3125,97450.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T22:00:00Z,2026-05-21T23:00:00Z,2026-05-22,109.3125,109.34375,109.28125,109.3125,3865.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T23:00:00Z,2026-05-22T00:00:00Z,2026-05-22,109.328125,109.34375,109.296875,109.3125,4980.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-22T00:00:00Z,2026-05-22T01:00:00Z,2026-05-22,109.3125,109.34375,109.25,109.28125,18357.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-22T01:00:00Z,2026-05-22T02:00:00Z,2026-05-22,109.28125,109.3125,109.25,109.28125,12690.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-22T02:00:00Z,2026-05-22T03:00:00Z,2026-05-22,109.28125,109.328125,109.28125,109.3125,9992.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
