provider,dataset,schema,stype_in,provider_symbol,instrument_id,timestamp_utc,completed_trading_date,open,high,low,close,volume,quarantine_status
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MESM6,42005163,2026-05-22T00:00:00Z,2026-05-22,7480.0,7524.0,7469.5,7484.25,1128001,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZLN6,608206,2026-05-22T00:00:00Z,2026-05-22,74.0,74.6,73.84,73.95,48000,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZFM6,42156042,2026-05-22T00:00:00Z,2026-05-22,106.8828125,107.0625,106.7109375,106.8671875,1396117,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,RBN6,781272,2026-05-22T00:00:00Z,2026-05-22,3.3442,3.3781,3.292,3.3545,28559,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MNQM6,42004936,2026-05-22T00:00:00Z,2026-05-22,29550.5,29747.75,29437.5,29520.0,1950207,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZMN6,748931,2026-05-22T00:00:00Z,2026-05-22,327.7,333.3,326.2,332.0,43481,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZSN6,194904,2026-05-22T00:00:00Z,2026-05-22,1193.75,1201.5,1190.5,1197.25,51943,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MYMM6,42002662,2026-05-22T00:00:00Z,2026-05-22,50457.0,50917.0,50435.0,50621.0,141694,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZNM6,42000661,2026-05-22T00:00:00Z,2026-05-22,109.3125,109.609375,109.15625,109.421875,1790927,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,QMN6,3159,2026-05-22T00:00:00Z,2026-05-22,97.725,99.4,94.725,97.075,8943,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,HEM6,42005488,2026-05-22T00:00:00Z,2026-05-22,95.6,95.85,94.975,95.85,4913,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,M2KM6,42002073,2026-05-22T00:00:00Z,2026-05-22,2853.7,2887.1,2842.6,2865.3,110203,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZWN6,4121243,2026-05-22T00:00:00Z,2026-05-22,650.0,654.0,642.25,647.0,38796,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZCN6,495552,2026-05-22T00:00:00Z,2026-05-22,462.5,467.75,461.0,463.75,128083,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
