root,row_id,raw_symbol,completed_trading_date,derived_completed_bar_end_utc,capped_forecast,forecast_multiplier,unit_base_position_contracts,desired_unrounded_contracts_unit_plumbing,desired_rounded_contracts_nearest,real_m1_position_sizing_status,position_status
ZT,APPENDIX_C_172_001,ZTH2,2022-01-05,2022-01-05T17:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-05,2022-01-05T18:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-05,2022-01-05T19:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-05,2022-01-05T20:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-05,2022-01-05T21:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-05,2022-01-05T22:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-06,2022-01-06T00:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-06,2022-01-06T01:00:00Z,18.18495653233825,1.8184956532338252,1.0,1.8184956532338252,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-06,2022-01-06T02:00:00Z,0.0,0.0,1.0,0.0,0,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-06,2022-01-06T03:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
ZT,APPENDIX_C_172_001,ZTH2,2022-01-06,2022-01-06T04:00:00Z,20.0,2.0,1.0,2.0,2,BLOCKED_CAPITAL_NOT_LOCKED_UNIT_BASE_USED_FOR_DEV_RECON_PLUMBING,UNIT_PLUMBING_POSITION_SERIES_DEV_RECON_ONLY_NOT_PRODUCTION_SIZING
